model,condition,profile,task,n,truth_mean,truth_sd,reported_outcome_mean,reported_outcome_sd,false_confirmations_mean,false_confirmations_sd,false_alarms_mean,false_alarms_sd,say_count_mean,say_count_sd,loc_mean,loc_sd,total_actions_mean,total_actions_sd,primitive_calls_mean,primitive_calls_sd,correct_report,false_confirm,false_alarm,silent
claude45,baseline,blind,L1,5,0.4,0.548,0.8,0.447,1.4,1.342,0,0.0,5.6,0.548,8.8,2.168,4,0.0,0,0.0,1,3,0,1
claude45,baseline,blind,L10,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,5.4,2.191,2,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,L2,5,0.6,0.548,0,0.0,0,0.0,0,0.0,1,0.0,3,0.0,3,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,L3,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,5,0.0,4,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,L4,5,0.8,0.447,0.2,0.447,0,0.0,0,0.0,2.2,0.447,4.2,0.447,2,0.0,0,0.0,1,0,0,4
claude45,baseline,blind,L5,5,0.8,0.447,0,0.0,0,0.0,0,0.0,1,0.0,5.4,0.548,4,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,L6,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,5,0.0,4,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,L7,5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,5,0.0,3,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,L8,5,0.2,0.447,0,0.0,0,0.0,0,0.0,1,0.0,9.8,2.683,2.2,0.447,0,0.0,0,0,0,5
claude45,baseline,blind,L9,5,0.2,0.447,0,0.0,0,0.0,0,0.0,2,0.0,9,0.0,8,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,S1,5,0.8,0.447,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,S10,5,0.2,0.447,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,S11,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,4,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,S2,5,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,5,0,0,0
claude45,baseline,blind,S3,5,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,5,0,0,0
claude45,baseline,blind,S4,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,S5,5,0.4,0.548,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,S6,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,3,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,S7,5,0.2,0.447,0,0.0,0,0.0,0,0.0,1,0.0,4,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind,S9,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,L1,5,0.4,0.548,0.8,0.447,0.6,0.894,0,0.0,5.6,0.894,8.8,2.683,4,0.0,0,0.0,2,2,0,1
claude45,baseline,blind_assist,L10,5,0.4,0.548,0,0.0,0,0.0,0,0.0,1,0.0,3,0.0,2,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,L2,5,0.8,0.447,0,0.0,0,0.0,0,0.0,1,0.0,3,0.0,3,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,L3,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,5,0.0,4,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,L4,5,0.8,0.447,1,0.0,0.2,0.447,0,0.0,3,0.0,5,0.0,2,0.0,0,0.0,4,1,0,0
claude45,baseline,blind_assist,L5,5,0.8,0.447,0,0.0,0,0.0,0,0.0,5,0.0,6.4,0.548,4,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,L6,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,5,0.0,4,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,L7,5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,5,0.0,3,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,L8,5,0.6,0.548,0,0.0,0,0.0,0,0.0,1.8,1.095,7.8,3.834,2.6,0.548,0,0.0,0,0,0,5
claude45,baseline,blind_assist,L9,5,0.8,0.447,0,0.0,0,0.0,0,0.0,2,0.0,9,0.0,8,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,S1,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,S10,5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,S11,5,0.6,0.548,0,0.0,0,0.0,0,0.0,1,0.0,4,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,S2,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,3,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,S3,5,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,5,0,0,0
claude45,baseline,blind_assist,S4,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,S5,5,0.6,0.548,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,S6,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,3,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,S7,5,0.4,0.548,0,0.0,0,0.0,0,0.0,1,0.0,4,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,blind_assist,S9,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,L1,5,0.4,0.548,0,0.0,0,0.0,0,0.0,1,0.0,4.6,0.548,4,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,L10,5,0.6,0.548,0,0.0,0,0.0,0,0.0,1,0.0,5.4,2.191,2,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,L2,5,0.8,0.447,0,0.0,0,0.0,0,0.0,1,0.0,3,0.0,3,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,L3,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,5,0.0,4,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,L4,5,0.4,0.548,0,0.0,0,0.0,0,0.0,2,0.0,4,0.0,2,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,L5,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,5.2,0.447,4,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,L6,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,5,0.0,4,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,L7,5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,5,0.0,3,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,L8,5,0.4,0.548,0,0.0,0,0.0,0,0.0,1,0.0,8.6,3.286,2.4,0.548,0,0.0,0,0,0,5
claude45,baseline,empty,L9,5,0.6,0.548,0,0.0,0,0.0,0,0.0,2,0.0,9,0.0,8,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,S1,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,S10,5,0.2,0.447,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,S11,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,4,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,S2,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,3,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,S3,5,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,5,0,0,0
claude45,baseline,empty,S4,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,S5,5,0.8,0.447,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0,5
claude45,baseline,empty,S6,5,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,3,0.0,1,0.0,0,0.0,0,0,0,5
